|name|average_rate|nb_of_reviews|address|city|postal_code
112|L'Artisan du Burger - Les Halles|4.0|1298|94 Rue Rambuteau, 75001 Paris|Paris|75001
115|Arrivederci pizzeria|4.6|1431|47 Rue Gay-Lussac, 75005 Paris|Paris|75005
116|Bonvivant Pizza|4.5|122|4 Rue des Écoles, 75005 Paris|Paris|75005
117|Little Napoli|4.4|131|5 Rue du Pot de Fer, 75005 Paris|Paris|75005
118|Univers Pizza|5.0|80|305 Rue Saint-Jacques, 75005 Paris|Paris|75005
119|La Scarpetta Paris 75005|4.4|193|29 Rue Descartes, 75005 Paris|Paris|75005
120|IL POMOD'ORO|4.8|515|340 Rue Saint-Jacques, 75005 Paris|Paris|75005
121|Pizza Roma Ecoles.|4.1|455|27 Rue des Écoles, 75005 Paris|Paris|75005
122|Rebalto Pinseria|4.6|187|49 Rue Mouffetard, 75005 Paris|Paris|75005
123|Golosino|4.6|436|4 Sq. Vermenouze, 75005 Paris|Paris|75005
124|I LAZZARI|4.5|702|44 Rue de la Montagne Ste Geneviève, 75005 Paris|Paris|75005
125|Les Artisans de la Pizza|4.6|163|318 Rue Saint-Jacques, 75005 Paris|Paris|75005
126|Amore Mio|4.2|436|13 Rue Linné, 75005 Paris|Paris|75005
127|Happiz Monge|4.6|253|9 Rue Monge, 75005 Paris|Paris|75005
128|Pizza sarno|3.9|869|31 Rue de la Harpe, 75005 Paris|Paris|75005
130|Papilla|4.6|408|9 Rue Soufflot, 75005 Paris|Paris|75005
131|Five Pizza Original - Paris 5 - Jussieu|4.2|1281|41-43 Rue Linné, 75005 Paris|Paris|75005
132|Girasole|4.1|230|5 Rue Linné, 75005 Paris|Paris|75005
133|L'Elica.|4.3|428|28 Rue des Écoles, 75005 Paris|Paris|75005
134|Mulberry Street|4.5|574|20 Rue de la Huchette, 75005 Paris|Paris|75005
135|Il Golosone|4.8|191|32 Rue des Carmes, 75005 Paris|Paris|75005
136|Amore e Gusto|4.6|235|47 Rue Descartes, 75005 Paris|Paris|75005
137|Pee And Bee|4.5|399|9 Rue Lagrange, 75005 Paris|Paris|75005
